Date_Time,Air Temperature_°C ,Relative Humidity_%,Atmospheric Pressure_kPa
1/11/2024 0:00,15.87,81.2,101.01
1/11/2024 0:10,15.64,82.74,100.99
1/11/2024 0:20,15.55,84.18,100.97
1/11/2024 0:30,15.34,85.26,100.95
1/11/2024 0:40,15.18,86.44,100.95
1/11/2024 0:50,15.05,87.57,100.93
1/11/2024 1:00,14.89,88.24,100.89
1/11/2024 1:10,14.68,88.84,100.88
1/11/2024 1:20,14.55,90.02,100.85
1/11/2024 1:30,14.47,90.24,100.85
1/11/2024 1:40,14.45,91.45,100.84
1/11/2024 1:50,14.37,91.86,100.82
1/11/2024 2:00,14.26,92.52,100.81
1/11/2024 2:10,14.02,92.03,100.8
1/11/2024 2:20,13.81,92.41,100.78
1/11/2024 2:30,13.62,91.44,100.77
1/11/2024 2:40,13.67,93.32,100.77
1/11/2024 2:50,13.79,94.18,100.77
1/11/2024 3:00,13.76,94.55,100.76
1/11/2024 3:10,13.75,95.25,100.76
1/11/2024 3:20,13.76,95.76,100.76
1/11/2024 3:30,13.69,95.75,100.77
1/11/2024 3:40,13.62,95.74,100.77
1/11/2024 3:50,13.58,96.05,100.76
1/11/2024 4:00,13.4,95.88,100.75
1/11/2024 4:10,13.37,96.07,100.74
1/11/2024 4:20,13.2,96.15,100.75
1/11/2024 4:30,13.28,96.7,100.76
1/11/2024 4:40,13.28,96.9,100.76
1/11/2024 4:50,13.09,96.85,100.76
1/11/2024 5:00,13.18,97.34,100.77
1/11/2024 5:10,13.35,97.7,100.78
1/11/2024 5:20,13.15,97.46,100.79
1/11/2024 5:30,13.41,98.16,100.79
1/11/2024 5:40,13.18,97.73,100.8
1/11/2024 5:50,13.3,98.02,100.81
1/11/2024 6:00,13.58,98.37,100.82
1/11/2024 6:10,13.99,98.6,100.82
1/11/2024 6:20,14.33,98.84,100.84
1/11/2024 6:30,15.03,99.05,100.84
1/11/2024 6:40,15.68,99.16,100.84
1/11/2024 6:50,16.49,98.8,100.83
1/11/2024 7:00,17.65,88.08,100.83
1/11/2024 7:10,18.56,77.85,100.82
1/11/2024 7:20,19.36,69.56,100.81
1/11/2024 7:30,20.09,64.18,100.82
1/11/2024 7:40,21.18,62.52,100.81
1/11/2024 7:50,22.96,55.27,100.82
1/11/2024 8:00,23.77,50.42,100.82
1/11/2024 8:10,23.97,48.78,100.82
1/11/2024 8:20,23.76,48.55,100.82
1/11/2024 8:30,24.13,47.61,100.82
1/11/2024 8:40,24.55,46.04,100.82
1/11/2024 8:50,25.09,47.35,100.82
1/11/2024 9:00,25.07,54.89,100.83
1/11/2024 9:10,25.04,53.54,100.83
1/11/2024 9:20,25.07,54.86,100.84
1/11/2024 9:30,25.11,59.81,100.84
1/11/2024 9:40,25.03,63.34,100.84
1/11/2024 9:50,24.82,60.41,100.84
1/11/2024 10:00,25,57.71,100.82
1/11/2024 10:10,24.76,56.23,100.82
1/11/2024 10:20,25.1,54.16,100.82
1/11/2024 10:30,25.89,48.26,100.82
1/11/2024 10:40,26.46,46.84,100.8
1/11/2024 10:50,27.18,44.18,100.79
1/11/2024 11:00,27.38,38.58,100.79
1/11/2024 11:10,27.75,33.65,100.77
1/11/2024 11:20,28.51,30.7,100.76
1/11/2024 11:30,28.61,32.49,100.74
1/11/2024 11:40,27.52,47.82,100.75
1/11/2024 11:50,26.11,55.27,100.75
1/11/2024 12:00,25.32,60.55,100.75
1/11/2024 12:10,24.86,60.2,100.74
1/11/2024 12:20,24.68,56.82,100.74
1/11/2024 12:30,24.44,58.85,100.73
1/11/2024 12:40,24.58,59.76,100.71
1/11/2024 12:50,24.69,61.49,100.71
1/11/2024 13:00,24.01,63.04,100.71
1/11/2024 13:10,24.24,62.64,100.71
1/11/2024 13:20,23.66,63.29,100.7
1/11/2024 13:30,24.02,62.27,100.68
1/11/2024 13:40,24.87,58.16,100.66
1/11/2024 13:50,24.87,54.62,100.67
1/11/2024 14:00,24.57,58.98,100.66
1/11/2024 14:10,23.74,57.94,100.66
1/11/2024 14:20,24.01,58.11,100.66
1/11/2024 14:30,23.62,57.23,100.66
1/11/2024 14:40,23.72,57.53,100.66
1/11/2024 14:50,23.15,54.92,100.67
1/11/2024 15:00,22.93,57.84,100.68
1/11/2024 15:10,22.68,61.81,100.7
1/11/2024 15:20,22.22,67.07,100.7
1/11/2024 15:30,22.16,67.47,100.71
1/11/2024 15:40,21.55,68.67,100.72
1/11/2024 15:50,21.49,70.29,100.73
1/11/2024 16:00,21.45,69.87,100.73
1/11/2024 16:10,21.28,71.27,100.75
1/11/2024 16:20,21.15,71.45,100.76
1/11/2024 16:30,20.96,72.21,100.77
1/11/2024 16:40,20.67,73.18,100.78
1/11/2024 16:50,20.55,72.89,100.78
1/11/2024 17:00,20.55,70.33,100.78
1/11/2024 17:10,20.28,71.3,100.79
1/11/2024 17:20,20.22,72.87,100.8
1/11/2024 17:30,19.87,73.3,100.81
1/11/2024 17:40,19.57,75.17,100.83
1/11/2024 17:50,19.32,75.41,100.83
1/11/2024 18:00,19,75.74,100.83
1/11/2024 18:10,18.78,77.2,100.86
1/11/2024 18:20,18.68,78.2,100.88
1/11/2024 18:30,18.66,78.06,100.89
1/11/2024 18:40,18.7,77.59,100.9
1/11/2024 18:50,18.65,75.93,100.9
1/11/2024 19:00,18.56,77.01,100.91
1/11/2024 19:10,18.53,76.78,100.93
1/11/2024 19:20,18.42,75.66,100.94
1/11/2024 19:30,18.31,76.37,100.96
1/11/2024 19:40,18.27,76.75,100.98
1/11/2024 19:50,18.34,77.32,101
1/11/2024 20:00,18.3,78.42,100.99
1/11/2024 20:10,18.2,79.25,101
1/11/2024 20:20,18.09,79.94,101.01
1/11/2024 20:30,17.93,80.7,101.02
1/11/2024 20:40,17.73,81.53,101.01
1/11/2024 20:50,17.54,82.41,101.03
1/11/2024 21:00,17.38,83.2,101.04
1/11/2024 21:10,17.23,84.34,101.05
1/11/2024 21:20,17.17,85.33,101.06
1/11/2024 21:30,17.32,85.59,101.07
1/11/2024 21:40,17.45,85.69,101.07
1/11/2024 21:50,17.52,85.41,101.07
1/11/2024 22:00,17.44,86.05,101.06
1/11/2024 22:10,17.47,85.98,101.05
1/11/2024 22:20,17.35,86.18,101.06
1/11/2024 22:30,17.69,85.64,101.06
1/11/2024 22:40,18.21,83.31,101.06
1/11/2024 22:50,18.39,81.86,101.05
1/11/2024 23:00,18.5,81.53,101.05
1/11/2024 23:10,18.57,81.31,101.06
1/11/2024 23:20,18.6,81.16,101.06
1/11/2024 23:30,18.63,80.96,101.06
1/11/2024 23:40,18.62,81.11,101.06
1/11/2024 23:50,18.61,81.86,101.07
2/11/2024 0:00,18.4,83.84,101.06
2/11/2024 0:10,18.12,86.96,101.07
2/11/2024 0:20,17.74,91.18,101.06
2/11/2024 0:30,17.55,93.43,101.05
2/11/2024 0:40,17.46,94.72,101.04
2/11/2024 0:50,17.43,95.25,101.04
2/11/2024 1:00,17.43,95.6,101.05
2/11/2024 1:10,17.5,95.93,101.02
2/11/2024 1:20,17.55,96.32,101.02
2/11/2024 1:30,17.61,96.16,101.01
2/11/2024 1:40,17.62,96.05,101
2/11/2024 1:50,17.68,96.13,100.99
2/11/2024 2:00,17.75,96.64,100.98
2/11/2024 2:10,17.65,96.76,100.97
2/11/2024 2:20,17.57,97.35,100.97
2/11/2024 2:30,17.59,97.52,100.96
2/11/2024 2:40,17.57,97.7,100.95
2/11/2024 2:50,17.49,97.74,100.95
2/11/2024 3:00,17.37,97.78,100.96
2/11/2024 3:10,17.29,97.82,100.96
2/11/2024 3:20,17.31,98.05,100.98
2/11/2024 3:30,17.36,98.29,100.99
2/11/2024 3:40,17.36,98.14,101.01
2/11/2024 3:50,17.31,98.4,101.02
2/11/2024 4:00,17.34,98.52,101.02
2/11/2024 4:10,17.45,98.69,101.03
2/11/2024 4:20,17.57,98.79,101.04
2/11/2024 4:30,17.51,98.77,101.05
2/11/2024 4:40,17.12,98,101.06
2/11/2024 4:50,17.14,97.73,101.07
2/11/2024 5:00,17.12,97.08,101.09
2/11/2024 5:10,16.91,95.94,101.1
2/11/2024 5:20,16.81,95.87,101.11
2/11/2024 5:30,16.78,95.84,101.1
2/11/2024 5:40,16.75,96.24,101.12
2/11/2024 5:50,16.65,95.74,101.12
2/11/2024 6:00,16.73,95.47,101.13
2/11/2024 6:10,16.79,95.68,101.13
2/11/2024 6:20,16.85,96.05,101.14
2/11/2024 6:30,17.12,94.83,101.15
2/11/2024 6:40,17.38,93.38,101.15
2/11/2024 6:50,17.54,91.89,101.15
2/11/2024 7:00,17.82,89.89,101.17
2/11/2024 7:10,18.1,87.7,101.19
2/11/2024 7:20,18.29,87.42,101.19
2/11/2024 7:30,18.4,86.53,101.21
2/11/2024 7:40,18.4,87.15,101.22
2/11/2024 7:50,18.65,85.56,101.22
2/11/2024 8:00,18.54,84.47,101.23
2/11/2024 8:10,18.49,85.44,101.24
2/11/2024 8:20,18.75,84.2,101.25
2/11/2024 8:30,19.08,84.06,101.27
2/11/2024 8:40,19.02,82.47,101.28
2/11/2024 8:50,17.85,86.69,101.31
2/11/2024 9:00,17.7,89.29,101.31
2/11/2024 9:10,17.83,91.85,101.3
2/11/2024 9:20,18.72,88.8,101.29
2/11/2024 9:30,19.19,83.4,101.29
2/11/2024 9:40,19.13,82.45,101.3
2/11/2024 9:50,19.55,81.2,101.3
