Date	Time	Pulse_ID	DO	DI	UO	UI	Batt_V	Ext_V
2024-11-15	10:00:00	1	18.799	18.599	18.900	18.700	3.84	24.95
2024-11-15	10:00:01	1	18.799	18.601	18.900	18.699	3.98	21.06
2024-11-15	10:00:02	1	18.800	18.600	18.901	18.700	3.99	20.06
2024-11-15	10:00:03	1	18.799	18.599	18.900	18.698	3.95	22.20
2024-11-15	10:00:04	1	18.800	18.599	18.902	18.699	4.14	24.04
2024-11-15	10:00:05	1	18.800	18.602	18.901	18.699	3.92	23.37
2024-11-15	10:00:06	1	18.801	18.600	18.899	18.700	4.13	24.33
2024-11-15	10:00:07	1	18.800	18.601	18.900	18.701	4.02	21.18
2024-11-15	10:00:08	1	18.802	18.600	18.901	18.698	4.11	21.23
2024-11-15	10:00:09	1	18.800	18.601	18.901	18.700	3.97	20.58
2024-11-15	10:00:10	1	18.802	18.600	18.902	18.702	4.05	22.10
2024-11-15	10:00:11	1	18.799	18.600	18.899	18.700	3.91	23.41
2024-11-15	10:00:12	1	18.800	18.599	18.902	18.700	3.82	24.26
2024-11-15	10:00:13	1	18.800	18.598	18.900	18.700	4.18	21.53
2024-11-15	10:00:14	1	18.801	18.600	18.901	18.700	3.89	21.78
2024-11-15	10:00:15	1	18.799	18.599	18.901	18.701	3.83	22.50
2024-11-15	10:00:16	1	18.799	18.598	18.901	18.702	4.03	22.93
2024-11-15	10:00:17	1	18.800	18.601	18.900	18.699	3.94	20.43
2024-11-15	10:00:18	1	18.801	18.598	18.900	18.698	3.85	21.75
2024-11-15	10:00:19	1	18.800	18.599	18.898	18.699	3.96	20.17
2024-11-15	10:00:20	1	18.800	18.600	18.901	18.701	4.18	21.21
2024-11-15	10:00:21	1	18.801	18.599	18.900	18.701	3.85	20.44
2024-11-15	10:00:22	1	18.800	18.600	18.900	18.698	3.91	24.75
2024-11-15	10:00:23	1	18.800	18.599	18.900	18.700	4.00	22.22
2024-11-15	10:00:24	1	18.800	18.602	18.901	18.701	4.03	22.43
2024-11-15	10:00:25	1	18.799	18.599	18.900	18.701	4.12	23.01
2024-11-15	10:00:26	1	18.800	18.600	18.901	18.702	4.15	20.74
2024-11-15	10:00:27	1	18.801	18.599	18.900	18.697	3.95	24.43
2024-11-15	10:00:28	1	18.800	18.600	18.899	18.701	3.95	21.11
2024-11-15	10:00:29	1	18.800	18.599	18.901	18.700	3.82	21.53
2024-11-15	10:00:30	1	19.941	19.545	18.900	18.702	3.82	24.47
2024-11-15	10:00:31	1	19.886	19.492	18.899	18.701	4.03	21.61
2024-11-15	10:00:32	1	19.834	19.447	18.901	18.700	4.05	21.93
2024-11-15	10:00:33	1	19.780	19.401	18.900	18.700	3.82	20.23
2024-11-15	10:00:34	1	19.735	19.358	18.900	18.699	3.91	20.82
2024-11-15	10:00:35	1	19.688	19.315	19.669	19.274	3.90	24.63
2024-11-15	10:00:36	1	19.645	19.280	19.638	19.248	3.85	22.91
2024-11-15	10:00:37	1	19.605	19.242	19.609	19.221	4.15	20.17
2024-11-15	10:00:38	1	19.565	19.206	19.583	19.202	4.16	22.22
2024-11-15	10:00:39	1	19.528	19.173	19.555	19.178	4.04	21.04
2024-11-15	10:00:40	1	19.493	19.143	19.530	19.157	4.07	22.53
2024-11-15	10:00:41	1	19.458	19.115	19.505	19.139	4.00	23.49
2024-11-15	10:00:42	1	19.427	19.086	19.480	19.117	4.03	23.94
2024-11-15	10:00:43	1	19.395	19.060	19.459	19.098	3.86	20.97
2024-11-15	10:00:44	1	19.364	19.034	19.438	19.082	3.83	21.28
2024-11-15	10:00:45	1	19.340	19.012	19.415	19.064	3.97	22.38
2024-11-15	10:00:46	1	19.312	18.987	19.395	19.048	3.97	24.97
2024-11-15	10:00:47	1	19.287	18.968	19.377	19.032	3.93	24.37
2024-11-15	10:00:48	1	19.264	18.949	19.358	19.018	3.93	21.51
2024-11-15	10:00:49	1	19.241	18.928	19.340	19.003	4.14	24.97
2024-11-15	10:00:50	1	19.221	18.911	19.322	18.990	3.90	24.78
2024-11-15	10:00:51	1	19.200	18.896	19.304	18.978	3.85	22.83
2024-11-15	10:00:52	1	19.180	18.877	19.288	18.965	4.15	20.34
2024-11-15	10:00:53	1	19.164	18.863	19.275	18.953	4.00	22.92
2024-11-15	10:00:54	1	19.144	18.849	19.260	18.940	4.02	20.23
2024-11-15	10:00:55	1	19.126	18.836	19.246	18.931	4.13	20.88
2024-11-15	10:00:56	1	19.113	18.824	19.232	18.919	4.08	22.75
2024-11-15	10:00:57	1	19.098	18.811	19.217	18.910	3.83	24.50
2024-11-15	10:00:58	1	19.080	18.801	19.205	18.903	4.18	24.81
2024-11-15	10:00:59	1	19.068	18.791	19.195	18.892	4.08	22.14
2024-11-15	10:01:00	1	19.055	18.779	19.184	18.885	3.83	21.10
2024-11-15	10:01:01	1	19.042	18.770	19.171	18.877	4.17	24.85
2024-11-15	10:01:02	1	19.030	18.761	19.161	18.868	3.89	22.80
2024-11-15	10:01:03	1	19.019	18.751	19.150	18.861	3.96	22.17
2024-11-15	10:01:04	1	19.009	18.743	19.141	18.854	3.89	20.93
2024-11-15	10:01:05	1	18.999	18.735	19.132	18.846	4.09	24.71
2024-11-15	10:01:06	1	18.989	18.727	19.123	18.840	4.15	22.80
2024-11-15	10:01:07	1	18.982	18.721	19.113	18.834	4.08	22.59
2024-11-15	10:01:08	1	18.969	18.716	19.105	18.829	3.82	20.26
2024-11-15	10:01:09	1	18.965	18.708	19.098	18.822	3.90	24.58
2024-11-15	10:01:10	1	18.955	18.704	19.090	18.815	3.95	20.46
