TIMESTAMP,RECORD,Batt_volt,Logger_Temp,TotalSapFlow_a,SFD_Outer_a,SFD_Inner_a,Alpha_Outer_a,Alpha_Inner_a,Beta_Outer_a,Beta_Inner_a,Tmax_Outer_a,Tmax_Inner_a,TotalSapFlow_b,SFD_Outer_b,SFD_Inner_b,Alpha_Outer_b,Alpha_Inner_b,Beta_Outer_b,Beta_Inner_b,Tmax_Outer_b,Tmax_Inner_b,TotalSapFlow_c,SFD_Outer_c,SFD_Inner_c,Alpha_Outer_c,Alpha_Inner_c,Beta_Outer_c,Beta_Inner_c,Tmax_Outer_c,Tmax_Inner_c,TotalSapFlow_d,SFD_Outer_d,SFD_Inner_d,Alpha_Outer_d,Alpha_Inner_d,Beta_Outer_d,Beta_Inner_d,Tmax_Outer_d,Tmax_Inner_d,TotalSapFlow_e,SFD_Outer_e,SFD_Inner_e,Alpha_Outer_e,Alpha_Inner_e,Beta_Outer_e,Beta_Inner_e,Tmax_Outer_e,Tmax_Inner_e,Solar,Precipitation,Strikes,StrikeDistance,WindSpeed,WindDirection,GustWindSpeed1,AirTemp,Vapor_Pressure,AtmPressure,RelHumidity,RelHumidityTemp,XOrientation,YOrientation,CompassHeading,N_Wind,E_Wind,GustWindSpeed2,ETo,VPD,Soil_Raw,Soil_Temp,Soil_Water,Canopy_Temp,IRT_Sensor_Temp
24/03/2025 9:45,10,13.34,39.53,0.019,-99,1.01,-99,0.0832,0.0413,0.04952,86.449,105.678,0.037,1.37,0.18,0.11332,0.01486,0.08506,0.02062,38.301,86.052,0.046,2.12,-0.37,0.17518,-0.03229,0.02,-0.00633,97.014,105.552,0.039,1.7,-0.14,0.14011,-0.01407,0.1067,-0.01045,94.717,76.073,-0.092,-2.9,-1.01,-0.24145,-0.08587,-0.18261,-0.12217,56.7,100.079,678,0,0,0,1.51,47.8,4.61,33,0.68,98,0.135,36.3,-0.4,-0.2,0,1.01,1.12,4.61,0.895,4.362,2018,31.3,0.087,33.61,34.73
24/03/2025 10:00,11,13.33,40.45,0.025,0.27,0.99,0.0216,0.08275,0.03156,0.08234,51.159,71.029,-0.036,-1.36,-0.07,-0.11403,-0.00831,-0.00333,-0.01363,38.547,61.578,0.009,0.53,-0.21,0.04386,-0.01963,0.06808,-0.01387,101.407,84.918,0.007,0.46,-0.19,0.03818,-0.01787,0.04083,-0.01487,76.115,71.372,-0.348,-12.74,-1.5,-1.05445,-0.12617,-0.30015,-0.11805,33.968,62.737,722,0,0,0,1.76,35.3,4.5,33.5,0.67,98,0.13,36.8,-0.3,1,0,1.44,1.02,4.5,0.962,4.512,2019,31.3,0.087,36.98,35.16
24/03/2025 10:30,12,13.32,41.36,-0.02,-1.46,0.9,-0.12217,0.07408,-0.03743,0.0763,43.626,67.273,-0.007,-0.28,0,-0.02565,0,0.00889,0,62.948,71.997,-0.037,-1.12,-0.48,-0.09497,-0.04145,-0.06085,-0.04113,79.669,76.7,0.011,0.57,-0.13,0.04762,-0.01319,0.04714,-0.01733,67.642,63.661,-0.312,-10.69,-2.29,-0.88489,-0.19079,-0.50467,-0.25135,29.814,64.881,795,0,0,0,1.28,59.1,3.29,34.3,0.65,97.9,0.119,37.8,-0.1,0,0,0.66,1.1,3.29,1.036,4.777,2018,31.5,0.087,35.13,35.74
24/03/2025 11:15,13,13.28,43.2,0.081,1.72,2,0.1425,0.1655,0.11956,0.17039,46.894,60.504,-0.078,-3.11,0,-0.25917,0,-0.19207,-0.00657,88.234,64.826,-0.041,-1.26,-0.47,-0.10671,-0.04073,-0.09003,-0.04375,79.244,71.468,0.009,0.52,-0.16,0.04322,-0.01525,0.04301,-0.01887,68.69,66.984,0.199,8.63,-0.91,0.71292,-0.07759,0.29792,-0.13117,78.889,50.738,882,0,0,0,1.29,65.9,3.79,35.8,0.64,97.9,0.108,39.2,-0.3,0.4,0,0.53,1.18,3.79,1.159,5.255,2019,32.1,0.087,39.08,37.97
24/03/2025 11:30,14,13.29,43.84,0.088,2.47,1.43,0.20398,0.11849,0.1269,0.11992,66.452,60.494,-0.071,-2.71,-0.16,-0.22547,-0.01545,-0.19903,-0.02137,61.697,64.756,-0.035,-0.91,-0.66,-0.07703,-0.05717,-0.04853,-0.05987,86.455,71.598,0.001,0.22,-0.23,0.01846,-0.02123,0.01834,-0.02101,67.674,65.967,0.027,0.97,0.18,0.0794,0.0156,0.08482,-0.01807,55.46,57.288,901,0,0,0,1.49,56.2,3.74,35.9,0.64,97.9,0.108,39.5,-0.6,0.3,0,0.83,1.24,3.74,1.191,5.284,2019,32.3,0.088,40.35,37.95
24/03/2025 11:45,15,13.27,44.52,0.002,-0.82,1.26,-0.06947,0.10436,-0.07105,0.1063,74.163,63.439,-0.039,-1.56,-0.02,-0.13125,-0.00305,-0.15725,-0.01193,45.29,63.327,-0.035,-1.05,-0.45,-0.08947,-0.03925,-0.08809,-0.04849,63.505,68.879,0.017,0.77,-0.1,0.0636,-0.01061,0.06318,-0.01051,73.207,65.689,0.035,1.5,-0.09,0.12327,-0.00937,0.12682,-0.03891,54.642,56.72,914,0,0,0,1.34,45.6,2.89,36.7,0.63,97.8,0.102,39.8,-0.2,0.3,0,0.94,0.96,2.89,1.212,5.558,2019,32.6,0.088,40.99,38.66
24/03/2025 12:00,16,13.28,44.9,0.172,5.14,2.28,0.42504,0.18813,0.39122,0.18866,43.377,60.749,-0.048,-1.97,0.04,-0.16429,0.0031,-0.17849,-0.00309,67.568,64.133,-0.021,-0.45,-0.51,-0.03909,-0.04383,-0.03885,-0.04995,65.331,65.9,0.008,0.49,-0.19,0.04083,-0.01789,0.03687,-0.01773,67.33,65.624,-0.006,0,-0.3,-0.00241,-0.02669,0,-0.04613,70.594,59.318,924,0,0,0,1.17,63.8,3.7,36.8,0.64,97.8,0.102,40.4,0.1,0.5,0,0.51,1.05,3.7,1.218,5.589,2018,33,0.087,39.8,38.9
24/03/2025 12:15,17,13.26,44.74,-0.001,-0.86,1.09,-0.07307,0.09066,-0.06683,0.09587,87.28,65.766,-0.06,-2.29,-0.16,-0.19137,-0.01491,-0.10461,-0.02061,92.539,65.389,-0.018,-0.38,-0.47,-0.03371,-0.04057,-0.03351,-0.04669,72.665,67.165,0.01,0.52,-0.14,0.04252,-0.01429,0.04583,-0.01415,71.332,64.57,0.019,0.97,-0.26,0.07959,-0.02369,0.09578,-0.04025,56.167,60.765,929,0,0,0,1.17,93.7,3.48,36.9,0.66,97.8,0.105,40.6,-0.4,1,0,-0.07,1.17,3.48,1.224,5.6,2019,33.3,0.088,40.67,39.35
24/03/2025 12:30,18,13.26,46.03,-0.038,-2.16,0.84,-0.18023,0.06916,-0.15991,0.06858,73.978,64.007,-0.047,-1.77,-0.16,-0.14871,-0.01449,-0.15143,-0.01721,62.195,67.248,-0.032,-0.91,-0.49,-0.07769,-0.04297,-0.07409,-0.04913,73.735,66.72,0.01,0.52,-0.1,0.04252,-0.01061,0.04226,-0.01407,69.821,67.863,0.016,0.88,-0.3,0.07311,-0.02711,0.0842,-0.04667,53.645,58.243,928,0,0,0,1.32,59.3,3.51,37.7,0.68,97.8,0.105,41.1,-0.4,0.4,0,0.67,1.14,3.51,1.241,5.85,2018,33.6,0.087,42.05,39.1
24/03/2025 12:45,19,13.25,47.31,-0.007,-1.14,1.15,-0.09563,0.09441,-0.09789,0.0996,70.094,63.635,-0.079,-2.96,-0.23,-0.24697,-0.02137,-0.17459,-0.02715,79.094,64.431,-0.03,-0.82,-0.51,-0.06991,-0.04383,-0.06619,-0.05337,67.725,66.271,0.007,0.45,-0.19,0.03687,-0.01785,0.033,-0.01765,68.812,66.348,0.005,0.48,-0.34,0.03972,-0.03027,0.0466,-0.04683,55.911,58.999,922,0,0,0,1.3,70.9,2.92,38,0.69,97.7,0.104,41.5,-0.3,0.3,0,0.43,1.23,2.92,1.238,5.952,2019,33.9,0.087,42.18,39.49
